1430, 0.25, 0.22, -1.06, -3.66, -2.68, -11.22, -49.06, -366.69, -2.40, 1.0000, 0.0092, -0.0023, -0.0007, 0.52, 358.95, 0.08, 187.62
1481, -0.24, 0.20, -0.98, -6.40, -5.79, -14.39, -57.61, -382.45, 12.90, 0.9999, 0.0089, -0.0037, -0.0091, 0.87, 358.99, 1.03, 188.57
1530, -0.26, -0.25, -1.18, -0.85, -1.28, -9.94, -21.61, -226.86, -29.11, 0.9999, 0.0082, 0.0013, -0.0139, 359.74, 359.06, 1.59, 185.44
1580, 0.23, 0.18, -1.00, 5.06, 5.12, 0.06, 31.06, -46.21, -101.58, 0.9998, 0.0092, 0.0019, -0.0151, 359.60, 358.95, 1.74, 146.10
1631, 0.01, 0.01, -1.10, -2.87, 0.98, 3.54, 30.16, -43.51, -103.83, 0.9998, 0.0120, -0.0017, -0.0137, 0.43, 358.63, 1.57, 145.27
1681, -0.34, -0.01, -0.73, -2.13, -1.46, -2.56, 29.26, -43.66, -102.93, 0.9998, 0.0118, -0.0015, -0.0140, 0.38, 358.65, 1.60, 146.17
1730, 0.11, -0.04, -0.89, -0.24, -0.73, 0.73, 29.26, -45.46, -102.18, 0.9998, 0.0121, -0.0002, -0.0144, 0.08, 358.62, 1.65, 147.24
1780, 0.07, -0.11, -0.93, -0.61, -0.06, 7.26, 29.86, -44.11, -100.98, 0.9999, 0.0113, -0.0015, -0.0119, 0.38, 358.71, 1.36, 145.91
1831, 0.01, -0.15, -0.92, -0.18, 0.61, 6.83, 29.71, -44.41, -100.83, 0.9999, 0.0085, -0.0022, -0.0085, 0.52, 359.03, 0.98, 146.22
1880, 0.01, -0.06, -0.97, -1.52, -1.34, 0.49, 29.26, -45.16, -102.63, 1.0000, 0.0055, -0.0023, -0.0076, 0.54, 359.37, 0.87, 147.06
1931, 0.06, -0.03, -0.97, -2.56, -2.32, -2.87, 29.26, -45.46, -101.88, 0.9999, 0.0041, -0.0036, -0.0084, 0.83, 359.53, 0.96, 147.24
1981, 1.11, -1.17, -0.99, -1.95, -0.73, -3.11, -13.05, -190.85, -53.56, 0.9999, 0.0040, -0.0046, -0.0095, 1.07, 359.54, 1.09, 183.91
2030, -0.02, -0.56, -1.09, 0.37, 3.90, -2.26, 58.96, -317.63, 53.86, 0.9999, -0.0049, -0.0012, -0.0115, 0.27, 0.57, 1.32, 169.48
2081, -0.43, -0.37, 0.45, -1.95, -2.62, -1.83, -181.40, -831.06, 104.58, 0.9998, -0.0147, -0.0010, -0.0118, 0.19, 1.68, 1.35, 192.31
2130, 0.17, -0.59, -2.00, 0.98, 1.83, -0.37, -159.49, -720.93, 68.87, 0.9997, -0.0217, 0.0061, -0.0108, 358.54, 2.48, 1.22, 192.47
2181, -1.08, -1.60, -2.00, 1.34, 1.77, 0.67, -136.08, -662.42, 45.46, 0.9994, -0.0318, 0.0008, -0.0112, 359.73, 3.64, 1.28, 191.61
2230, 2.00, 0.51, -2.00, -1.40, -0.18, -5.37, -132.33, -635.41, 37.81, 0.9989, -0.0443, 0.0058, -0.0127, 358.55, 5.07, 1.42, 191.76
2281, -1.24, -0.06, -2.00, -6.95, -7.20, -7.74, -142.84, -595.95, 29.56, 0.9989, -0.0446, 0.0002, -0.0153, 359.79, 5.11, 1.75, 193.48
2331, 0.65, 1.47, -1.40, -3.35, -3.54, -2.44, -61.82, -376.14, -11.40, 0.9983, -0.0559, -0.0012, -0.0170, 0.06, 6.41, 1.96, 189.33
2380, 0.98, 0.65, -0.83, -9.82, -6.10, -8.48, 5.10, -138.63, -71.87, 0.9982, -0.0569, -0.0074, -0.0195, 1.44, 6.54, 2.27, 177.89
2430, 0.23, 0.76, -1.20, -17.68, -11.52, -14.82, 26.86, -47.86, -99.32, 0.9983, -0.0487, -0.0201, -0.0256, 4.32, 5.64, 3.05, 150.70
2480, -0.36, 0.37, -0.95, 0.43, 0.49, -49.45, 27.46, -43.96, -99.77, 0.9980, -0.0443, -0.0209, -0.0397, 4.38, 5.17, 4.65, 148.01
2530, -0.00, 0.21, -1.09, 0.06, 3.48, -34.09, 10.65, -91.37, -87.92, 0.9974, -0.0399, -0.0184, -0.0577, 3.68, 4.69, 6.70, 173.35
2580, -0.35, 0.47, -0.94, 0.67, 2.68, -14.33, 27.46, -71.42, -80.87, 0.9967, -0.0381, -0.0214, -0.0687, 4.28, 4.53, 7.97, 158.97
2630, -0.44, 0.05, -0.50, 1.46, -0.98, -7.38, -89.87, -463.62, 18.60, 0.9966, -0.0361, -0.0235, -0.0704, 4.78, 4.32, 8.17, 190.97
