1431, 0.07, -0.01, -0.97, -1.59, -1.04, 0.00, 28.21, -33.01, -72.17, 1.0000, 0.0070, -0.0009, 0.0001, 0.20, 359.20, 359.99, 139.48
1480, 0.08, -0.01, -0.96, -1.65, -0.91, -0.18, 28.06, -33.61, -74.42, 1.0000, 0.0063, -0.0029, 0.0001, 0.65, 359.27, 359.99, 140.14
1531, 0.08, -0.00, -0.96, -1.65, -1.16, 0.06, 29.41, -33.31, -72.32, 1.0000, 0.0057, -0.0049, 0.0001, 1.13, 359.35, 359.98, 138.56
1580, 0.08, -0.02, -0.96, -1.59, -1.16, 0.24, 25.96, -34.21, -73.22, 1.0000, 0.0050, -0.0071, 0.0002, 1.63, 359.43, 359.97, 142.81
1630, 0.07, -0.01, -0.96, -1.59, -1.10, 0.00, 27.46, -32.41, -72.77, 0.9999, 0.0043, -0.0092, 0.0003, 2.12, 359.51, 359.96, 139.73
1681, 0.08, -0.01, -0.96, -1.59, -0.91, -0.37, 28.06, -32.56, -72.92, 0.9999, 0.0035, -0.0115, 0.0002, 2.63, 359.60, 359.97, 139.25
1730, 0.08, -0.01, -0.94, -1.65, -1.04, -0.12, 29.26, -32.71, -73.52, 0.9999, 0.0028, -0.0138, 0.0002, 3.17, 359.67, 359.98, 138.19
1780, 0.08, 0.00, -0.96, -1.71, -1.16, 0.06, 27.61, -32.11, -73.37, 0.9999, 0.0021, -0.0164, 0.0002, 3.75, 359.76, 359.97, 139.31
1830, 0.07, -0.00, -0.97, -1.65, -1.16, 0.06, 26.11, -31.81, -71.87, 0.9998, 0.0013, -0.0189, 0.0003, 4.34, 359.85, 359.97, 140.62
1880, 0.08, -0.01, -0.96, -1.65, -0.85, -0.18, 27.76, -32.41, -73.52, 0.9998, 0.0005, -0.0215, 0.0003, 4.92, 359.94, 359.97, 139.42
1931, 0.07, -0.02, -0.96, -1.52, -0.98, -0.24, 26.71, -32.41, -72.77, 0.9997, -0.0004, -0.0242, 0.0002, 5.54, 0.04, 359.98, 140.51
1980, 0.08, -0.01, -0.96, -1.71, -0.98, -0.24, 26.56, -32.86, -71.87, 0.9996, -0.0013, -0.0269, 0.0001, 6.17, 0.15, 360.00, 141.05
2031, 0.09, -0.00, -0.96, -1.65, -1.04, 0.06, 27.61, -33.91, -72.32, 0.9996, -0.0022, -0.0298, 0.0001, 6.84, 0.25, 360.00, 140.85
2080, 0.07, -0.00, -0.96, -1.71, -1.04, 0.12, 27.46, -33.76, -74.27, 0.9995, -0.0031, -0.0329, 0.0001, 7.55, 0.36, 360.00, 140.88
2131, 0.07, -0.02, -0.96, -1.65, -1.16, -0.12, 27.16, -34.51, -72.17, 0.9993, -0.0041, -0.0360, 0.0001, 8.26, 0.47, 0.00, 141.80
2180, 0.08, -0.01, -0.96, -1.59, -0.91, 0.06, 27.16, -31.96, -73.22, 0.9992, -0.0051, -0.0392, 0.0001, 8.99, 0.58, 0.01, 139.64
2230, 0.08, -0.01, -0.97, -1.59, -0.98, 0.00, 28.06, -33.91, -72.32, 0.9991, -0.0061, -0.0426, 0.0002, 9.76, 0.70, 0.01, 140.39
2281, 0.08, -0.01, -0.97, -1.65, -0.98, 0.00, 27.46, -33.46, -72.17, 0.9989, -0.0072, -0.0460, 0.0002, 10.55, 0.82, 0.02, 140.63
2330, 0.09, -0.01, -0.96, -1.71, -1.10, 0.18, 26.41, -31.66, -72.17, 0.9987, -0.0083, -0.0497, 0.0002, 11.39, 0.95, 0.02, 140.17
2381, 0.08, -0.01, -0.96, -1.77, -1.16, 0.24, 28.96, -32.71, -72.17, 0.9985, -0.0095, -0.0535, 0.0003, 12.26, 1.09, 0.03, 138.48
2430, 0.08, -0.01, -0.97, -1.52, -0.98, 0.00, 27.31, -32.86, -71.87, 0.9983, -0.0107, -0.0573, 0.0003, 13.14, 1.23, 0.03, 140.27
2480, 0.08, -0.01, -0.95, -1.59, -0.98, -0.12, 27.16, -33.01, -73.52, 0.9981, -0.0120, -0.0612, 0.0003, 14.04, 1.38, 0.05, 140.55
2530, 0.08, -0.01, -0.95, -1.77, -1.04, 0.00, 27.76, -32.41, -73.22, 0.9978, -0.0133, -0.0654, 0.0003, 15.00, 1.53, 0.07, 139.42
2580, 0.09, -0.01, -0.97, -1.71, -1.10, 0.00, 28.36, -34.36, -72.32, 0.9974, -0.0147, -0.0699, 0.0002, 16.03, 1.69, 0.09, 140.47
2631, 0.07, -0.01, -0.95, -1.71, -1.16, 0.18, 27.46, -33.01, -73.22, 0.9971, -0.0160, -0.0744, 0.0002, 17.07, 1.85, 0.11, 140.25
2680, 0.07, -0.01, -0.94, -1.65, -0.98, 0.00, 28.06, -31.81, -71.87, 0.9967, -0.0176, -0.0789, 0.0003, 18.11, 2.03, 0.13, 138.59
2731, 0.08, -0.00, -0.97, -1.52, -0.79, -0.24, 27.16, -31.66, -72.77, 0.9963, -0.0191, -0.0836, 0.0002, 19.18, 2.21, 0.17, 139.38
2780, 0.08, -0.01, -0.95, -1.71, -1.10, 0.06, 28.66, -34.66, -72.92, 0.9959, -0.0206, -0.0886, 0.0001, 20.32, 2.38, 0.21, 140.41
