1431, 0.10, -0.04, -0.95, -1.34, -1.10, 0.12, 13.20, -30.46, -109.53, 1.0000, 0.0067, -0.0014, 0.0001, 0.31, 359.23, 359.99, 156.56
1481, 0.10, -0.03, -0.98, -1.59, -1.04, 0.18, 13.65, -33.01, -110.28, 1.0000, 0.0056, -0.0038, 0.0001, 0.87, 359.35, 359.98, 157.53
1530, 0.10, -0.02, -0.95, -1.34, -1.22, 0.12, 13.05, -31.36, -110.43, 1.0000, 0.0047, -0.0064, 0.0002, 1.46, 359.47, 359.97, 157.40
1581, 0.10, -0.02, -0.96, -1.46, -1.16, 0.00, 12.75, -31.81, -110.88, 1.0000, 0.0037, -0.0090, 0.0003, 2.06, 359.58, 359.97, 158.15
1630, 0.10, -0.03, -0.96, -1.34, -1.16, 0.06, 12.75, -31.81, -110.13, 0.9999, 0.0027, -0.0117, 0.0003, 2.69, 359.69, 359.96, 158.15
1680, 0.10, -0.02, -0.97, -1.46, -1.16, 0.06, 12.45, -32.41, -109.53, 0.9999, 0.0016, -0.0145, 0.0004, 3.33, 359.82, 359.95, 158.98
1731, 0.09, -0.03, -0.94, -1.40, -1.16, 0.06, 13.35, -32.86, -109.83, 0.9998, 0.0004, -0.0174, 0.0004, 3.99, 359.95, 359.95, 157.88
1781, 0.10, -0.03, -0.96, -1.34, -1.16, 0.18, 12.90, -31.96, -111.33, 0.9998, -0.0007, -0.0204, 0.0005, 4.67, 0.08, 359.94, 158.01
1838, 0.10, -0.03, -0.96, -1.40, -1.22, 0.18, 14.25, -33.46, -111.63, 0.9997, -0.0019, -0.0235, 0.0006, 5.38, 0.22, 359.94, 156.93
1880, 0.10, -0.03, -0.96, -1.46, -1.10, 0.12, 14.10, -31.06, -111.18, 0.9996, -0.0031, -0.0267, 0.0007, 6.13, 0.36, 359.93, 155.58
1931, 0.10, -0.02, -0.95, -1.40, -1.10, 0.00, 12.75, -31.81, -109.83, 0.9995, -0.0044, -0.0301, 0.0007, 6.91, 0.51, 359.94, 158.15
1980, 0.11, -0.02, -0.96, -1.46, -1.10, 0.00, 11.70, -32.41, -109.53, 0.9994, -0.0057, -0.0336, 0.0007, 7.70, 0.66, 359.94, 160.14
2030, 0.10, -0.03, -0.97, -1.46, -1.16, 0.18, 12.15, -30.91, -109.53, 0.9993, -0.0071, -0.0372, 0.0007, 8.52, 0.81, 359.95, 158.54
2081, 0.09, -0.02, -0.95, -1.52, -1.22, 0.24, 12.45, -31.21, -109.53, 0.9991, -0.0086, -0.0409, 0.0008, 9.38, 0.98, 359.95, 158.25
2130, 0.10, -0.03, -0.97, -1.40, -1.22, 0.18, 14.10, -30.76, -110.13, 0.9989, -0.0101, -0.0447, 0.0009, 10.26, 1.16, 359.95, 155.37
2180, 0.10, -0.04, -0.97, -1.52, -1.10, 0.00, 12.90, -31.66, -109.98, 0.9987, -0.0117, -0.0487, 0.0010, 11.18, 1.34, 359.96, 157.83
2231, 0.10, -0.03, -0.97, -1.40, -1.04, 0.00, 11.70, -31.96, -110.28, 0.9985, -0.0133, -0.0528, 0.0010, 12.11, 1.52, 359.97, 159.89
